NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Gary Woodland,39,2019,"$5,690,965 ",-2,24,84,21,8,1,69.8,308.2,63.4,69,1.759,50.4,4.381
Xander Schauffele,30,2019,"$5,609,456 ",-14,21,74,18,6,2,69.6,304.1,60.3,68.4,1.744,55.6,4.081
Dustin Johnson,39,2019,"$5,534,619 ",10,19,70,18,7,1,69.9,312,55.6,67,1.737,63.9,4.214
Justin Thomas,30,2019,"$5,013,084 ",-13,20,72,18,7,1,69,302.2,60,70.7,1.716,52.6,4.583
Jon Rahm,29,2019,"$4,990,110 ",-4,20,68,18,12,1,69.4,305.6,62.5,69,1.736,52.8,4.353
Webb Simpson,38,2019,"$4,690,572 ",-1,21,78,20,6,0,69.1,288.6,66.8,65.8,1.726,63,3.859
Justin Rose,43,2019,"$4,358,849 ",3,17,62,16,7,1,69.9,303.2,60.1,64.8,1.71,61.7,4.065
Tony Finau,34,2019,"$4,344,380 ",-7,25,84,20,6,0,69.8,309.5,56.9,67.5,1.756,49.4,3.905
Paul Casey,46,2019,"$4,257,040 ",-9,22,75,18,7,1,69.7,298.4,67.7,71,1.748,43.7,3.867
Adam Scott,43,2019,"$4,084,541 ",-8,18,61,14,9,0,69.7,299.3,59.9,68.9,1.746,55.4,4.279
Rickie Fowler,35,2019,"$3,945,810 ",0,20,76,18,6,1,69.8,303.1,60.6,67.8,1.726,54.8,4.039
Marc Leishman,40,2019,"$3,886,577 ",2,21,72,17,7,1,70,296.2,59.4,67.2,1.755,58.2,3.889
Tommy Fleetwood,33,2019,"$3,853,651 ",-1,18,64,18,6,0,69.9,298.7,64,66.9,1.782,63.5,3.531
Chez Reavie,42,2019,"$3,660,909 ",-6,28,92,22,6,1,69.8,287,75.7,67.9,1.737,48.9,4.011
Patrick Reed,33,2019,"$3,593,844 ",-5,25,88,22,5,1,69.8,296.8,60.1,66.2,1.731,58.8,3.977
Shane Lowry,36,2019,"$3,490,098 ",1197,14,41,9,4,1,70.5,0,0,0,0,0,0
Kevin Kisner,40,2019,"$3,489,144 ",-5,25,86,22,5,1,70,286.4,69.4,67,1.76,45.8,3.674
Francesco Molinari,41,2019,"$3,467,143 ",1080,15,54,14,3,1,71.1,288.7,66.4,63.6,1.786,65.3,3.204
Hideki Matsuyama,32,2019,"$3,335,137 ",-5,24,88,22,7,0,69.5,303,61.3,69.4,1.753,53.7,4.295
Tiger Woods,48,2019,"$3,199,615 ",1069,12,41,0,4,1,63.4,0,0,0,0,0,0
Bryson DeChambeau,30,2019,"$3,186,232 ",-4,21,72,17,5,1,69.8,302.5,65,66.2,1.733,52.3,4.167
Brandt Snedeker,43,2019,"$3,122,936 ",2,27,99,24,6,0,70.2,287.2,63.2,64.9,1.746,62.3,3.737
Charles Howell III,44,2019,"$3,039,049 ",4,27,91,21,5,1,69.7,302.8,62.8,70.5,1.763,47.5,3.846
Corey Conners,32,2019,"$2,919,864 ",3,28,86,16,4,1,70.2,297.3,66.9,73.1,1.79,51.8,3.791
Ryan Palmer,47,2019,"$2,873,316 ",1141,21,66,15,6,1,70,298.6,60.7,68.4,1.754,42.7,4.212
Sungjae Im,25,2019,"$2,851,134 ",0,35,118,26,7,0,69.6,295.9,65.5,67.6,1.736,48.9,4.068
Sung Kang,36,2019,"$2,801,650 ",1003,27,84,17,4,1,70.7,300.5,60.7,66.1,1.777,57.7,3.655
Abraham Ancer,33,2019,"$2,688,625 ",1,27,88,20,4,0,70,293.3,70.2,66.8,1.749,46.6,3.886
Scott Piercy,45,2019,"$2,679,915 ",1104,24,86,21,6,0,69.5,292.4,67.6,70.1,1.748,50.4,4.012
Jim Furyk,53,2019,"$2,669,938 ",911,21,68,16,3,0,70.1,275,74.4,69.3,1.785,53.4,3.456
Jason Day,36,2019,"$2,637,480 ",891,21,64,15,6,0,70,302,61.8,69.7,1.747,52.4,4
Lucas Glover,44,2019,"$2,613,965 ",10,26,90,21,7,0,69.7,296.1,66.1,68.1,1.762,59.1,3.956
Louis Oosthuizen,41,2019,"$2,539,183 ",1,19,64,16,5,0,70.2,296.3,66.9,66.8,1.751,58.1,3.922
J.T. Poston,30,2019,"$2,461,215 ",1238,29,96,21,3,1,70,293.8,62.9,66.8,1.743,52.8,3.906
Phil Mickelson,53,2019,"$2,440,221 ",948,20,60,0,2,1,71.1,306.3,50.8,64.2,1.756,55.1,3.917
Andrew Putnam,35,2019,"$2,439,137 ",1145,23,76,18,3,0,70.3,281.5,60.6,65.9,1.701,61,4.158
Keith Mitchell,32,2019,"$2,405,360 ",926,26,83,17,3,1,70.4,303.2,60.4,67.3,1.774,50.7,3.88
Rory Sabbatini,47,2019,"$2,382,298 ",1140,26,93,22,6,0,69.8,289.4,66.9,66.9,1.738,55.6,4.032
C.T. Pan,32,2019,"$2,362,399 ",1125,25,82,17,2,1,70.6,285,64.8,64.2,1.765,57.4,3.488
Jason Kokrak,38,2019,"$2,330,212 ",-3,24,90,23,5,0,70,306.4,62.7,68.8,1.761,47.5,4.044
Kevin Tway,35,2019,"$2,300,050 ",1242,26,80,16,2,1,70.4,303.8,55.3,67,1.78,50,3.563
Kevin Na,40,2019,"$2,257,309 ",823,19,60,14,3,1,70.9,289.6,64,64.4,1.767,55.3,3.417
Si Woo Kim,28,2019,"$2,191,808 ",956,28,82,16,5,0,70.2,292.4,62.9,64.9,1.729,56.6,4.122
Billy Horschel,37,2019,"$2,187,249 ",1065,26,92,24,4,0,70.3,291.8,64.7,67.6,1.762,47.9,3.609
Ian Poulter,48,2019,"$2,162,306 ",1072,18,58,15,6,0,70.3,291.5,63.6,66.9,1.736,62,4.103
J.B. Holmes,41,2019,"$2,147,065 ",856,25,71,15,2,1,71.2,306.7,56.5,65.6,1.786,53.1,3.761
Jordan Spieth,30,2019,"$2,124,192 ",1026,23,79,19,4,0,70.2,295.2,53.1,62.8,1.694,54.6,4.253
Max Homa,33,2019,"$2,063,606 ",825,25,80,16,2,1,70.7,300.2,57.5,65.1,1.769,44.2,3.538
Adam Hadwin,36,2019,"$2,039,012 ",904,24,82,19,5,0,70.2,291.2,67.8,67.5,1.734,55.9,3.976
Nate Lashley,41,2019,"$2,030,287 ",849,21,68,14,2,1,70,289.6,65.2,67.5,1.728,52.1,3.882
Byeong Hun An,32,2019,"$1,990,033 ",892,22,77,19,3,0,70.2,307.1,58,67.7,1.775,58.5,3.974
Joel Dahmen,36,2019,"$1,949,958 ",868,29,96,21,2,0,70.4,292.4,68.5,66.7,1.758,50.3,3.885
Rafa Cabrera Bello,39,2019,"$1,926,935 ",713,19,68,17,2,0,70.7,289.6,64.5,63,1.747,53.1,4
Keegan Bradley,37,2019,"$1,902,797 ",761,25,82,20,3,0,70.5,298.5,66.3,68.5,1.789,44.9,3.683
Ryan Moore,41,2019,"$1,838,788 ",944,22,74,15,2,0,70.2,282.2,75.5,68.2,1.736,45.5,3.905
Sergio Garcia,44,2019,"$1,793,027 ",637,15,44,11,5,0,70.7,302.5,58.8,63.3,1.758,50,3.545
Collin Morikawa,27,2019,"$1,754,890 ",840,9,32,9,3,1,68.6,0,0,0,0,0,0
Emiliano Grillo,31,2019,"$1,752,114 ",765,23,78,20,2,0,70.6,295.7,68.1,68.7,1.79,47.9,3.756
Vaughn Taylor,48,2019,"$1,723,910 ",937,27,91,20,4,0,69.8,282.9,69,66.8,1.718,56.7,4.044
Cameron Champ,28,2019,"$1,695,748 ",819,26,76,14,3,1,70.7,317.9,55.3,69.3,1.787,37,4.118
Graeme McDowell,44,2019,"$1,671,523 ",750,20,71,18,3,1,70.4,285.9,62.7,64.8,1.758,56.6,3.535
Adam Long,36,2019,"$1,648,007 ",734,27,76,11,2,1,71.1,292,66.5,65.3,1.791,49.6,3.224
Kiradech Aphibarnrat,34,2019,"$1,630,073 ",568,20,62,13,3,0,70.8,292.4,63.2,61.6,1.762,52.7,3.516
Kevin Streelman,45,2019,"$1,588,881 ",609,26,81,16,4,0,70.3,291.8,68,69.8,1.768,50.4,3.765
Dylan Frittelli,33,2019,"$1,576,974 ",802,24,81,17,1,1,70,296.5,62.7,68.2,1.778,49.2,3.617
Jhonattan Vegas,39,2019,"$1,566,910 ",602,23,72,15,3,0,70.2,308.3,58.9,69.3,1.774,43.4,3.972
Bubba Watson,45,2019,"$1,558,014 ",572,19,58,14,3,0,70.6,311.6,58.1,66.8,1.811,49.5,3.707
Matt Fitzpatrick,29,2019,"$1,553,750 ",0,14,51,13,2,0,71,287.9,66.1,63.9,1.751,47.7,3.549
Harold Varner III,33,2019,"$1,553,149 ",1122,26,82,16,3,0,70.1,302,60,67.2,1.767,58.5,3.817
Troy Merritt,38,2019,"$1,531,143 ",842,21,61,14,4,0,69.8,293.3,66.4,68.9,1.729,48.8,4.246
Danny Lee,33,2019,"$1,524,126 ",633,27,81,15,3,0,70.5,301.4,57.1,66.7,1.758,53.2,3.914
Tyrrell Hatton,32,2019,"$1,517,396 ",574,17,58,14,3,0,70.9,296.6,63,66.3,1.767,53.8,3.741
Cameron Smith,30,2019,"$1,504,820 ",566,23,74,17,3,0,70.6,294.2,59.4,63.7,1.756,58.7,3.703
Charley Hoffman,47,2019,"$1,468,855 ",576,24,70,13,2,0,71.2,295.6,58.3,66.5,1.759,39.3,3.486
Joaquin Niemann,25,2019,"$1,434,519 ",751,28,96,21,4,0,70,301.5,61.7,68.1,1.762,54.1,3.698
Matt Every,40,2019,"$1,413,149 ",561,16,41,9,2,0,70.2,0,0,0,0,0,0
Chesson Hadley,36,2019,"$1,405,632 ",573,26,74,11,3,0,71,297.6,59.7,64.6,1.774,51.7,3.459
Henrik Stenson,47,2019,"$1,397,370 ",523,15,50,14,3,0,70.4,282.7,72.1,66.1,1.78,49.3,3.46
Luke List,39,2019,"$1,391,408 ",506,22,63,11,4,0,71,313.3,53.1,65.4,1.786,46.5,3.73
Matthew Wolff,24,2019,"$1,390,433 ",613,8,29,6,1,1,69,0,0,0,0,0,0
Branden Grace,35,2019,"$1,373,185 ",588,22,68,16,2,0,71.2,295.1,57.2,66.1,1.794,50,3.397
Brian Harman,37,2019,"$1,342,778 ",534,29,89,16,4,0,70.6,288.4,68.2,64.2,1.767,58.5,3.517
Brian Stuard,41,2019,"$1,320,637 ",572,29,94,20,3,0,70.3,276.6,71.1,64.9,1.749,52.9,3.691
Michael Thompson,38,2019,"$1,307,816 ",527,22,71,14,4,0,70.2,288.4,69.1,65.7,1.749,54.9,3.817
Danny Willett,36,2019,"$1,286,737 ",565,19,63,12,2,0,70.9,293.8,59.6,66.2,1.775,53.6,3.635
Wyndham Clark,30,2019,"$1,278,721 ",771,27,85,19,3,0,69.8,311.8,56.4,65.9,1.71,55.9,4.212
Adam Schenk,32,2019,"$1,257,158 ",657,31,100,20,3,0,70.1,300.8,61.3,68.6,1.752,50,3.97
J.J. Spaun,33,2019,"$1,205,977 ",479,26,82,19,2,0,70.2,290.4,63.6,68.4,1.774,47.1,3.817
Russell Henley,34,2019,"$1,133,773 ",553,25,70,13,1,0,70.1,287.7,69.3,68.1,1.781,43.3,3.643
Russell Knox,38,2019,"$1,132,825 ",452,22,72,18,2,0,70.3,289.2,65.9,69.1,1.779,59.6,3.611
Kyle Stanley,36,2019,"$1,117,604 ",471,25,76,16,1,0,70.7,288.9,69.1,67.5,1.787,49.6,3.408
Sam Burns,27,2019,"$1,117,312 ",493,26,78,16,3,0,70.5,307.2,57.2,64.7,1.749,41.1,3.718
Pat Perez,48,2019,"$1,103,241 ",376,21,62,13,3,0,70.5,286.1,65.3,65.3,1.756,50,3.774
Bud Cauley,34,2019,"$1,090,018 ",482,25,82,16,2,0,69.8,293.4,63.3,67.2,1.73,56.4,4.073
Scott Stallings,38,2019,"$1,080,451 ",452,26,78,15,2,0,70.7,297,59,66.7,1.756,50.4,3.782
Chris Stroud,42,2019,"$1,075,552 ",473,26,62,10,4,0,71,289.8,58.3,63,1.757,52.6,3.435
Carlos Ortiz,32,2019,"$1,073,962 ",441,28,82,14,3,0,70.4,301,62.3,67.8,1.777,50,3.524
Talor Gooch,32,2019,"$1,067,089 ",474,17,54,10,2,0,69.9,297.4,58.7,70,1.765,62.5,3.963
K.H. Lee,32,2019,"$1,061,457 ",453,30,84,16,2,0,70.8,286.2,66,67.7,1.775,51.8,3.726
Sam Ryder,34,2019,"$1,060,735 ",458,23,72,16,2,0,69.9,293.9,63.6,68,1.742,62.4,3.972
Aaron Wise,27,2019,"$1,052,507 ",441,21,69,15,1,0,70.2,302.6,61.8,68.6,1.734,48.2,4.42
Cameron Tringale,36,2019,"$1,049,106 ",459,21,65,16,2,0,70,296.9,60.5,69.7,1.744,54.7,4.138
Patrick Rodgers,31,2019,"$1,046,838 ",459,18,51,10,1,0,70.7,299.8,57.2,64.7,1.761,46.1,3.667
Brian Gay,52,2019,"$1,029,440 ",415,28,89,19,2,0,70.6,274.9,70.2,64.4,1.758,48.3,3.517
Matt Jones,43,2019,"$1,024,852 ",515,27,84,17,2,0,70.1,294.1,62.2,66.6,1.758,53.1,3.714
Mackenzie Hughes,33,2019,"$1,022,081 ",479,25,76,15,2,0,70.3,297.2,58,65.3,1.77,40.7,3.711
Brice Garnett,40,2019,"$1,019,594 ",466,28,85,15,2,0,70.1,287.4,71.5,69.5,1.766,44.4,3.765
Roger Sloan,36,2019,"$1,015,661 ",505,27,84,17,3,0,70.3,295.8,61.8,65.1,1.739,56.5,3.905
Nick Watney,42,2019,"$1,008,964 ",480,26,83,17,3,0,70.2,301.7,59.3,68.6,1.765,50.4,3.964
Scott Brown,40,2019,"$999,457 ",442,27,82,15,4,0,70.3,288.6,65.4,66.5,1.777,50,3.585
Patton Kizzire,38,2019,"$995,341 ",406,25,74,13,1,0,70.8,294.9,60.7,64,1.728,50.4,3.608
Ryan Armour,48,2019,"$955,468 ",475,28,92,17,1,0,70.1,277.9,73.8,67.6,1.771,53.6,3.761
Sebastián Muñoz,31,2019,"$946,666 ",423,26,80,16,3,0,69.9,298.8,59.8,68.3,1.747,48.8,4.038
Sepp Straka,30,2019,"$934,894 ",432,25,72,13,1,0,70.3,304.4,63.9,69.1,1.752,41.1,4.194
Jason Dufner,46,2019,"$926,365 ",327,25,72,13,2,0,70.7,290.1,67.8,70.8,1.796,50.7,3.681
Denny McCarthy,31,2019,"$925,156 ",443,28,81,16,2,0,69.5,290.8,65.8,66,1.72,48.8,4.247
Alex Noren,41,2019,"$913,446 ",367,0,60,14,0,0,71,301.1,62.4,65.3,1.789,44.5,3.383
Kelly Kraft,35,2019,"$905,681 ",399,31,81,12,3,0,70.9,290.2,61.6,62.4,1.74,48.6,3.642
Aaron Baddeley,43,2019,"$904,982 ",428,18,55,10,3,0,70.4,286.3,57.7,63.3,1.722,54.5,3.782
Nick Taylor,35,2019,"$892,663 ",408,28,93,21,1,0,70,292.1,61.7,67.3,1.748,46.8,3.763
Andrew Landry,36,2019,"$887,405 ",481,25,74,15,1,0,70.5,286.8,71.7,67.1,1.758,50,3.838
Martin Kaymer,39,2019,"$877,761 ",288,14,44,10,1,0,71.2,0,0,0,0,0,0
Peter Malnati,36,2019,"$864,496 ",423,26,83,18,1,0,70.1,292.2,54.6,64,1.732,50,3.855
Martin Laird,41,2019,"$863,054 ",408,26,80,18,4,0,70,298.9,63.1,69.9,1.787,49.1,3.588
Wes Roach,35,2019,"$860,264 ",345,21,63,13,2,0,70,294.1,65.9,67.6,1.757,40.7,3.651
Richy Werenski,32,2019,"$851,329 ",374,27,83,17,1,0,70.3,293.6,61.3,65.9,1.76,45.2,3.663
Peter Uihlein,34,2019,"$842,991 ",353,29,78,14,2,0,70.6,297.5,50.6,66,1.762,55.4,3.769
Jonas Blixt,39,2019,"$838,271 ",392,26,76,15,1,0,70.3,289.4,64.3,65.1,1.752,46.6,3.697
Austin Cook,33,2019,"$837,788 ",364,23,64,12,2,0,70.4,291,70.3,65.7,1.753,48.9,3.938
Bronson Burgoon,36,2019,"$814,673 ",343,20,55,9,2,0,70.6,296.1,66.5,68,1.771,50,3.764
Shawn Stefani,42,2019,"$798,831 ",374,25,76,15,2,0,70.1,295.9,61.9,70,1.767,52.9,3.868
Robert Streb,36,2019,"$796,525 ",372,28,72,12,2,0,70.8,288.7,60.9,66.1,1.784,46.7,3.431
Séamus Power,37,2019,"$773,976 ",308,27,72,13,2,0,71.2,295.9,56.3,62.2,1.794,56.6,3.222
Ted Potter Jr.,40,2019,"$757,721 ",291,23,71,14,1,0,71.4,281.4,63.2,66.4,1.762,41.8,3.817
Ryan Blaum,40,2019,"$755,802 ",323,28,82,18,1,0,70.5,289.2,62.5,65,1.746,49.6,3.768
Zack Sucher,--,2019,"$753,782 ",305,10,30,7,1,0,69.3,0,0,0,0,0,0
Daniel Berger,30,2019,"$742,340 ",361,20,66,15,1,0,70.1,301,65.5,65.2,1.762,56.2,3.727
Bill Haas,41,2019,"$730,806 ",312,23,69,16,2,0,70.4,291.5,61.3,64.7,1.776,52.3,3.565
Martin Trainer,32,2019,"$692,155 ",354,25,61,7,1,1,71.8,303.8,50.8,60.5,1.762,53.1,3.443
Jim Herman,46,2019,"$678,185 ",321,21,48,5,1,1,70.9,288.3,70.1,66.2,1.778,44.2,3.583
Roberto Castro,38,2019,"$674,250 ",312,22,72,16,2,0,70.3,283.8,67.5,68.4,1.772,46.9,3.708
Dominic Bozzelli,32,2019,"$668,449 ",316,24,67,13,2,0,70,296.4,60.2,66.9,1.709,55.6,4.164
Josh Teater,44,2019,"$663,570 ",296,24,67,13,2,0,70,292,63.5,70.5,1.767,37.5,3.91
Hank Lebioda,30,2019,"$656,802 ",291,23,70,15,1,0,70.2,294,65.6,69.2,1.759,43.4,4.129
Beau Hossler,29,2019,"$645,795 ",304,0,83,16,0,0,70.7,299.4,59.2,67,1.739,52.3,3.964
Scott Langley,34,2019,"$635,883 ",277,27,74,12,1,0,70.8,271.3,69,62,1.735,53,3.554
Harris English,34,2019,"$628,922 ",289,0,91,21,0,0,70.3,301,61.6,66.8,1.764,51.4,3.495
Stephan Jaeger,34,2019,"$623,145 ",278,0,71,13,0,0,70.3,293.7,59.5,66,1.769,54.3,3.592
Roberto Díaz,37,2019,"$620,178 ",271,23,65,14,2,0,70.3,287.4,67.8,66.6,1.755,52.4,3.738
Zach Johnson,48,2019,"$603,160 ",276,19,64,13,1,0,70.5,287.5,66.6,62.6,1.767,54.1,3.344
Johnson Wagner,43,2019,"$597,792 ",312,19,58,13,1,0,69.9,283.4,67.1,71.6,1.755,40.2,4
Tyler Duncan,34,2019,"$596,502 ",238,29,83,17,1,0,70.7,288.2,69.6,68.5,1.784,44.6,3.386
Lucas Bjerregaard,32,2019,"$592,694 ",0,14,42,9,1,0,72,0,0,0,0,0,0
Jimmy Walker,45,2019,"$590,437 ",258,0,74,15,0,0,71,299.2,55.7,64.7,1.794,61.8,3.284
Tom Hoge,34,2019,"$573,464 ",252,32,90,17,1,0,70.8,290.4,61.8,65.8,1.793,49.6,3.5
Chase Wright,34,2019,"$571,575 ",265,26,69,11,2,0,70.3,299.1,62.6,68,1.754,46.1,3.899
Jonathan Byrd,46,2019,"$550,547 ",283,17,49,11,1,0,70.5,281.6,58.2,65.2,1.763,41.2,3.673
Hudson Swafford,36,2019,"$545,191 ",242,20,57,10,1,0,70.7,295.2,57.7,66.8,1.746,54.6,3.579
Trey Mullinax,31,2019,"$536,694 ",260,0,73,14,0,0,70.6,310.2,51,67.5,1.775,44.4,3.712
Brendan Steele,40,2019,"$515,139 ",204,0,62,12,0,0,71.2,302.5,68.7,70,1.812,38.9,3.565
D.J. Trahan,43,2019,"$507,919 ",231,14,37,8,3,0,69.6,0,0,0,0,0,0
Brandon Harkins,37,2019,"$494,795 ",225,28,83,17,1,0,70.7,304.3,57,67.7,1.743,48.6,4.06
Kramer Hickok,31,2019,"$494,424 ",250,26,77,13,1,0,70.5,291,69.2,67.1,1.786,43.6,3.649
Jim Knous,--,2019,"$490,976 ",223,18,53,10,1,0,71.1,296.5,55.2,67.7,1.791,41.5,3.547
Cam Davis,29,2019,"$477,467 ",252,0,72,13,0,0,70.1,309,58,68.8,1.773,46.8,3.931
Alex Prugh,39,2019,"$467,732 ",217,0,71,13,0,0,70.5,303.7,64.1,71.4,1.804,47.3,3.465
Joey Garber,32,2019,"$454,296 ",209,22,57,10,2,0,70.8,293.9,62.5,66.4,1.787,50,3.421
Anders Albertson,30,2019,"$449,226 ",199,25,64,10,1,0,70.7,293.2,60.1,67.7,1.806,52.2,3.547
Fabián Gómez,45,2019,"$433,027 ",209,0,62,11,0,0,70.4,290.2,68.2,68.1,1.775,45.3,3.548
Curtis Luck,27,2019,"$432,569 ",190,23,59,10,1,0,71.1,289.4,55.9,62.4,1.742,48,3.61
Satoshi Kodaira,34,2019,"$421,457 ",141,0,64,12,0,0,72.1,282.3,67.6,63.5,1.783,38.9,3.516
Anirban Lahiri,36,2019,"$419,620 ",164,23,69,14,1,0,71,290.2,60.1,63,1.746,54.6,3.58
Sam Saunders,36,2019,"$413,887 ",197,26,74,14,1,0,70.8,299.9,56.5,64.8,1.76,47.9,3.784
Ollie Schniederjans,30,2019,"$411,682 ",153,0,75,11,0,0,71,306.4,48.5,62.9,1.744,51.4,3.653
Adam Svensson,30,2019,"$405,730 ",223,0,67,11,0,0,70.2,289.8,65.2,69.4,1.784,47.4,3.746
David Hearn,44,2019,"$397,677 ",195,18,47,9,1,0,70.7,279.3,69.9,67.5,1.75,50.7,3.553
José de Jesús Rodríguez,43,2019,"$394,402 ",187,0,65,10,0,0,70.5,290.2,60.3,64.3,1.753,51.7,3.846
Stewart Cink,50,2019,"$368,008 ",160,0,47,8,0,0,71,0,0,0,0,0,0
Julián Etulain,35,2019,"$360,653 ",189,0,65,12,0,0,70.9,291.8,54.8,63.5,1.779,47.5,3.415
Seth Reeves,33,2019,"$309,588 ",124,25,67,11,1,0,71.1,311.4,57.2,66.8,1.795,40.4,3.552
Ben Silverman,36,2019,"$298,497 ",143,0,68,11,0,0,70.7,287.2,68,66.5,1.783,61.2,3.441
John Chin,36,2019,"$294,536 ",140,21,54,7,1,0,71.4,300,58.1,68.7,1.805,43.4,3.667
Whee Kim,32,2019,"$292,773 ",118,27,69,9,1,0,71.5,284.3,62.1,66.2,1.78,45.5,3.623
Hunter Mahan,41,2019,"$287,579 ",141,0,59,8,0,0,71.1,295.7,65.6,68.3,1.764,46.6,3.576
Luke Donald,46,2019,"$285,630 ",115,12,34,6,1,0,70.9,0,0,0,0,0,0
Kyle Jones,30,2019,"$277,762 ",133,0,66,10,0,0,71.1,284,68.6,66,1.801,39,3.273
Davis Love III,59,2019,"$271,216 ",106,9,27,0,1,0,70.5,0,0,0,0,0,0
Chris Kirk,38,2019,"$261,401 ",95,0,45,6,0,0,70.9,0,0,0,0,0,0
Kevin Chappell,37,2019,"$257,024 ",107,3,12,3,1,0,68.8,0,0,0,0,0,0
Brendon Todd,38,2019,"$252,546 ",142,0,33,7,0,0,70.1,0,0,0,0,0,0
Cody Gribble,33,2019,"$248,317 ",111,0,66,11,0,0,71.5,297.2,53.6,61.6,1.743,41.3,3.47
Billy Hurley III,41,2019,"$239,396 ",122,13,34,8,1,0,71.3,0,0,0,0,0,0
Charl Schwartzel,39,2019,"$232,725 ",113,13,32,4,1,0,71.7,0,0,0,0,0,0
Nicholas Lindheim,39,2019,"$227,124 ",97,0,37,5,0,0,70.6,0,0,0,0,0,0
Brady Schnell,--,2019,"$210,914 ",103,0,51,6,0,0,71.1,283.3,67.5,64.5,1.76,52.2,3.373
Sean O'Hair,41,2019,"$201,352 ",88,9,23,4,1,0,70.5,0,0,0,0,0,0
Ben Crane,48,2019,"$193,074 ",95,14,43,7,1,0,71.1,0,0,0,0,0,0
George McNeill,48,2019,"$187,950 ",90,9,22,4,1,0,71,0,0,0,0,0,0
K.J. Choi,53,2019,"$185,952 ",70,7,18,3,1,0,72.1,0,0,0,0,0,0
Alex Cejka,53,2019,"$181,155 ",88,0,50,8,0,0,71.3,278,67.2,64.4,1.798,42,3.1
J.J. Henry,48,2019,"$177,232 ",84,22,52,6,1,0,71.5,288.8,65.1,66.7,1.856,39.8,2.442
Sangmoon Bae,37,2019,"$172,472 ",85,0,54,8,0,0,70.9,296.5,61.5,64.7,1.79,51.3,3.537
Padraig Harrington,52,2019,"$169,390 ",61,0,21,2,0,0,71.1,0,0,0,0,0,0
James Hahn,42,2019,"$159,343 ",70,0,34,7,0,0,70.3,0,0,0,0,0,0
Jamie Lovemark,36,2019,"$145,999 ",66,0,22,4,0,0,69.9,0,0,0,0,0,0
Tom Lovelady,30,2019,"$145,647 ",85,0,35,6,0,0,71.2,0,0,0,0,0,0
Freddie Jacobson,49,2019,"$144,500 ",72,0,51,7,0,0,71.4,285.3,60.6,63.2,1.762,42.5,3.196
Martin Piller,38,2019,"$134,029 ",78,0,41,6,0,0,71,0,0,0,0,0,0
Grayson Murray,30,2019,"$125,511 ",57,0,36,5,0,0,71.9,0,0,0,0,0,0
Tyrone Van Aswegen,42,2019,"$114,780 ",62,0,40,6,0,0,71.1,0,0,0,0,0,0
Boo Weekley,50,2019,"$107,981 ",53,0,26,5,0,0,70.9,0,0,0,0,0,0
Michael Kim,30,2019,"$104,936 ",34,0,59,4,0,0,73,279.3,53,60.1,1.798,46.6,2.983
Rod Pampling,54,2019,"$102,127 ",42,0,52,5,0,0,71.6,286.4,62.8,64,1.803,46.2,3.077
John Senden,52,2019,"$99,419 ",28,0,43,8,0,0,71.6,0,0,0,0,0,0
John Huh,33,2019,"$97,255 ",44,0,35,4,0,0,71.4,0,0,0,0,0,0
Jason Gore,49,2019,"$92,960 ",48,0,10,1,0,0,70.1,0,0,0,0,0,0
Morgan Hoffmann,34,2019,"$92,212 ",35,0,30,4,0,0,71.9,0,0,0,0,0,0
Robert Garrigus,46,2019,"$84,191 ",34,0,29,4,0,0,71.6,0,0,0,0,0,0
Chris Thompson,47,2019,"$81,635 ",39,0,46,4,0,0,71.7,0,0,0,0,0,0
Derek Fathauer,38,2019,"$76,850 ",45,0,32,4,0,0,71.6,0,0,0,0,0,0
Andres Romero,42,2019,"$74,786 ",44,0,18,4,0,0,71.4,0,0,0,0,0,0
David Lingmerth,36,2019,"$71,644 ",33,0,29,4,0,0,71.4,0,0,0,0,0,0
Colt Knost,38,2019,"$66,493 ",27,0,24,3,0,0,71,0,0,0,0,0,0
Arjun Atwal,50,2019,"$62,095 ",35,0,16,3,0,0,71.1,0,0,0,0,0,0
David Toms,57,2019,"$61,438 ",37,0,10,0,0,0,70.1,0,0,0,0,0,0
Chad Collins,45,2019,"$59,164 ",14,0,39,5,0,0,71.4,0,0,0,0,0,0
Tim Herron,54,2019,"$43,281 ",13,0,24,3,0,0,72.7,0,0,0,0,0,0
D.A. Points,47,2019,"$43,246 ",15,0,33,3,0,0,72.4,0,0,0,0,0,0
Chad Campbell,49,2019,"$42,130 ",14,0,29,4,0,0,72.1,0,0,0,0,0,0
Daniel Chopra,50,2019,"$40,401 ",20,0,16,3,0,0,70.6,0,0,0,0,0,0
Y.E. Yang,52,2019,"$39,055 ",22,0,8,2,0,0,70.9,0,0,0,0,0,0
Trevor Immelman,44,2019,"$35,353 ",11,0,10,2,0,0,72.2,0,0,0,0,0,0
Stuart Appleby,52,2019,"$33,336 ",16,0,12,3,0,0,70.6,0,0,0,0,0,0
John Rollins,48,2019,"$32,424 ",16,0,10,2,0,0,72.5,0,0,0,0,0,0
Parker McLachlin,44,2019,"$29,674 ",16,0,21,3,0,0,71.9,0,0,0,0,0,0
Mike Weir,53,2019,"$27,643 ",7,0,21,2,0,0,71.3,0,0,0,0,0,0
Chris Couch,50,2019,"$27,166 ",15,0,14,3,0,0,71.7,0,0,0,0,0,0
